k	time(ms)
1	1
1000	0
2000	1
3000	1
4000	1
5000	2
6000	2
7000	2
8000	2
9000	4
10000	3
11000	5
12000	4
13000	6
14000	6
15000	6
16000	7
17000	6
18000	8
19000	8
20000	9
21000	9
22000	11
23000	11
24000	10
25000	12
26000	14
27000	16
28000	14
29000	13
30000	15
31000	15
32000	16
33000	16
34000	18
35000	18
36000	18
37000	18
38000	18
39000	20
40000	19
41000	21
42000	21
43000	21
44000	24
45000	23
46000	25
47000	25
48000	25
49000	26
50000	25
51000	28
52000	29
53000	29
54000	30
55000	30
56000	30
57000	30
58000	32
59000	32
60000	32
61000	34
62000	34
63000	37
64000	36
65000	35
66000	35
67000	43
68000	41
69000	41
70000	39
71000	39
72000	39
73000	41
74000	41
75000	40
76000	43
77000	43
78000	42
79000	44
80000	45
81000	45
82000	47
83000	46
84000	47
85000	45
86000	48
87000	51
88000	50
89000	51
90000	54
91000	50
92000	52
93000	51
94000	54
95000	52
96000	56
97000	55
98000	56
99000	59
100000	59
